Timestamp,Dask APIs,Interactive or Batch?,Local machine or Cluster?,How often do you use Dask?,What Dask resources have you used for support in the last six months?,Which would help you most right now?,Is Dask stable enough for you?,What common feature requests do you care about most?  [Better Numpy/Pandas support],What common feature requests do you care about most?  [Better Scikit-Learn/ML support],What common feature requests do you care about most?  [Integrate with Deep Learning Frameworks],What common feature requests do you care about most?  [Support for new libraries in my field],What common feature requests do you care about most?  [Improve Scaling ],What common feature requests do you care about most?  [Dashboard / Diagnostics],What common feature requests do you care about most?  [Ease of deployment],What common feature requests do you care about most?  [Cloud integration],What common feature requests do you care about most?  [Managing many users],What common feature requests do you care about most?  [GPUs],Python 2 or 3?,"If you use a cluster, how do you launch Dask? ",Preferred Cloud?,What are some other libraries that you often use with Dask?,How easy is it for you to upgrade to newer versions of Python libraries,Do you use Dask as part of a larger group?
2019-06-26 04:24:35,Array;Delayed;Futures,Interactive:  I use Dask with Jupyter or IPython when playing with data;Batch: I submit scripts that run in the future,Personal laptop;Large workstation;Cluster with 100+ machines,Occasionally,Documentation;Stack Overflow #Dask tag;Tutorial;GitHub issue trackers (raising a new issue);GitHub issue trackers (reading past issues),More examples in my field,Yes,Somewhat useful,Not relevant for me,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Critical to me,Somewhat useful,Not relevant for me,Somewhat useful,3.0,dask-jobqueue using SLURM,,,4.0,My team or research group also use Dask
2019-06-26 04:32:54,DataFrame;Delayed;Futures;ML,Interactive:  I use Dask with Jupyter or IPython when playing with data;Batch: I submit scripts that run in the future,Cluster of 2-10 machines,Occasionally,Documentation;Stack Overflow #Dask tag,More documentation,Yes,Critical to me,Critical to me,Critical to me,,,,,,,Critical to me,3.0,Kubernetes,Google Cloud Platform (GCP),,4.0,My team or research group also use Dask
2019-06-26 04:34:13,Array;DataFrame;Delayed;Futures;ML,Interactive:  I use Dask with Jupyter or IPython when playing with data,Cluster with 10-100 machines,Every day,Documentation;GitHub issue trackers (raising a new issue);GitHub issue trackers (reading past issues),More examples in my field,No,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Critical to me,Critical to me,Critical to me,Critical to me,Critical to me,Critical to me,3.0,Kubernetes,Google Cloud Platform (GCP),sklearn,3.0,My team or research group also use Dask
2019-06-26 04:52:33,Array;DataFrame;Delayed;ML;Xarray,Interactive:  I use Dask with Jupyter or IPython when playing with data;Batch: I submit scripts that run in the future,Personal laptop;Large workstation;Cluster with 100+ machines,Occasionally,Documentation;Tutorial;Examples at examples.dask.org;Definitely more and diverse examples,More examples in my field,No,Somewhat useful,Somewhat useful,Critical to me,Not relevant for me,Critical to me,Critical to me,Critical to me,Critical to me,Critical to me,Critical to me,3.0,"HPC resource manager (SLURM, PBS, SGE, LSF or similar);Dask jobqueue",Google Cloud Platform (GCP),,3.0,I use Dask mostly on my own
2019-06-26 05:34:17,DataFrame;Delayed;Futures;ML,Interactive:  I use Dask with Jupyter or IPython when playing with data,Personal laptop;Large workstation;Cluster of 2-10 machines;Cluster with 10-100 machines;Cluster with 100+ machines,"I use Dask all the time, even when I sleep",Documentation;Stack Overflow #Dask tag;GitHub issue trackers (raising a new issue);GitHub issue trackers (reading past issues),New features,Yes,Somewhat useful,Critical to me,Critical to me,Somewhat useful,Critical to me,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Critical to me,3.0,Kubernetes,Google Cloud Platform (GCP),,4.0,"Beyond my group, many people throughout my institution use Dask"
2019-06-26 06:02:38,Xarray,Interactive:  I use Dask with Jupyter or IPython when playing with data,Personal laptop;Large workstation,Just looking for now,Documentation;Tutorial,More examples in my field,Yes,Critical to me,Critical to me,Critical to me,Critical to me,Somewhat useful,Critical to me,Critical to me,Somewhat useful,Somewhat useful,Somewhat useful,3.0,,Amazon Web Services (AWS),,3.0,My team or research group also use Dask
2019-06-26 06:05:50,Array;DataFrame;Delayed;Futures;ML,Interactive:  I use Dask with Jupyter or IPython when playing with data,Personal laptop;Large workstation,Just looking for now,Documentation;Tutorial;Examples at examples.dask.org,More examples in my field,Yes,Critical to me,Critical to me,Somewhat useful,Not relevant for me,Critical to me,Not relevant for me,Somewhat useful,Not relevant for me,Not relevant for me,Somewhat useful,2.0,,Amazon Web Services (AWS),,3.0,I use Dask mostly on my own
2019-06-26 07:03:27,Array;Bag;DataFrame;Delayed,Interactive:  I use Dask with Jupyter or IPython when playing with data;Batch: I submit scripts that run in the future,Personal laptop,Occasionally,Documentation;Stack Overflow #Dask tag;Tutorial;Examples at examples.dask.org;GitHub issue trackers (reading past issues),More examples in my field,Yes,Somewhat useful,Somewhat useful,Not relevant for me,Not relevant for me,Critical to me,Somewhat useful,Somewhat useful,Not relevant for me,Not relevant for me,Somewhat useful,3.0,SSH,Amazon Web Services (AWS);Google Cloud Platform (GCP),Pandas ,3.0,I use Dask mostly on my own
2019-06-26 07:21:20,DataFrame,Interactive:  I use Dask with Jupyter or IPython when playing with data,Large workstation,Occasionally,Documentation;Stack Overflow #Dask tag;Examples at examples.dask.org,More examples in my field,Yes,Critical to me,,,,,,Critical to me,,,Critical to me,3.0,"I don't know, someone else does this for me",Microsoft Azure,,4.0,I use Dask mostly on my own
2019-06-26 07:41:24,DataFrame;Delayed,Interactive:  I use Dask with Jupyter or IPython when playing with data;Batch: I submit scripts that run in the future,Large workstation,Occasionally,Documentation;GitHub issue trackers (raising a new issue);GitHub issue trackers (reading past issues),More documentation,No,Critical to me,Critical to me,Critical to me,Critical to me,Critical to me,Somewhat useful,Critical to me,Somewhat useful,Not relevant for me,Somewhat useful,3.0,SSH,Amazon Web Services (AWS),,2.0,I use Dask mostly on my own
2019-06-26 08:17:10,DataFrame;Xarray,Interactive:  I use Dask with Jupyter or IPython when playing with data,Large workstation,Just looking for now,Documentation;Tutorial;Examples at examples.dask.org,Performance improvements,Yes,Somewhat useful,Somewhat useful,Critical to me,Somewhat useful,Critical to me,Somewhat useful,Critical to me,Critical to me,Somewhat useful,Critical to me,3.0,,Amazon Web Services (AWS);Google Cloud Platform (GCP),,4.0,I use Dask mostly on my own
2019-06-26 08:39:29,DataFrame,Interactive:  I use Dask with Jupyter or IPython when playing with data;Batch: I submit scripts that run in the future,Personal laptop;Cluster of 2-10 machines,Occasionally,Documentation;Stack Overflow #Dask tag;Tutorial,Bug fixes,No,Critical to me,Not relevant for me,Not relevant for me,Critical to me,Somewhat useful,Somewhat useful,Somewhat useful,,Not relevant for me,Not relevant for me,3.0,"SSH;HPC resource manager (SLURM, PBS, SGE, LSF or similar)",Amazon Web Services (AWS),,4.0,I use Dask mostly on my own
2019-06-26 09:12:55,Array;Delayed;Futures,Batch: I submit scripts that run in the future,Personal laptop;Cluster with 100+ machines,Occasionally,Documentation;GitHub issue trackers (raising a new issue);GitHub issue trackers (reading past issues),Bug fixes,No,Somewhat useful,,,,Critical to me,Somewhat useful,,Critical to me,,,2.0,autoscaling instance groups running dask workers,Google Cloud Platform (GCP),,2.0,My team or research group also use Dask
2019-06-26 09:14:48,DataFrame;Delayed,Interactive:  I use Dask with Jupyter or IPython when playing with data;Batch: I submit scripts that run in the future,Personal laptop;Large workstation;Cluster with 10-100 machines,Every day,Documentation;Stack Overflow #Dask tag;GitHub issue trackers (raising a new issue);GitHub issue trackers (reading past issues),Performance improvements,Yes,Not relevant for me,Somewhat useful,Not relevant for me,Not relevant for me,Somewhat useful,Somewhat useful,Somewhat useful,Not relevant for me,Not relevant for me,Not relevant for me,3.0,My workplace has a custom solution for this,Microsoft Azure,kartothek,4.0,My team or research group also use Dask
2019-06-26 12:45:37,Array;Delayed;Futures,Interactive:  I use Dask with Jupyter or IPython when playing with data,Personal laptop;Large workstation;Cluster of 2-10 machines,Occasionally,Documentation;Tutorial,More examples in my field,No,Critical to me,Not relevant for me,Not relevant for me,Critical to me,Critical to me,Somewhat useful,Somewhat useful,Critical to me,Somewhat useful,Critical to me,3.0,SSH,Microsoft Azure,"Numpy, scipy, numba, Pylops ",4.0,I use Dask mostly on my own
2019-06-26 13:17:10,Array;DataFrame;Futures,Batch: I submit scripts that run in the future,Large workstation;Cluster with 10-100 machines,Every day,Documentation;Stack Overflow #Dask tag;GitHub issue trackers (reading past issues),Performance improvements,Yes,Critical to me,Somewhat useful,Not relevant for me,Not relevant for me,Critical to me,Somewhat useful,Somewhat useful,Not relevant for me,Not relevant for me,Somewhat useful,3.0,"SSH;HPC resource manager (SLURM, PBS, SGE, LSF or similar)",,"psycopg2, scipy, scikit-learn, statsmodels",3.0,I use Dask mostly on my own
2019-06-26 15:02:40,,,,Just looking for now,,More examples in my field,,Critical to me,Critical to me,Somewhat useful,Somewhat useful,Critical to me,Somewhat useful,Critical to me,Somewhat useful,Not relevant for me,Somewhat useful,3.0,,,,3.0,
2019-06-26 15:15:40,Array;Bag;DataFrame;Xarray,Interactive:  I use Dask with Jupyter or IPython when playing with data;Batch: I submit scripts that run in the future,Personal laptop;Cluster of 2-10 machines;Cluster with 10-100 machines;Cluster with 100+ machines,Occasionally,Documentation;Stack Overflow #Dask tag;Tutorial;GitHub issue trackers (reading past issues),Bug fixes,Yes,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,3.0,"SSH;HPC resource manager (SLURM, PBS, SGE, LSF or similar);I don't know, someone else does this for me",Amazon Web Services (AWS),,3.0,My team or research group also use Dask
2019-06-26 16:45:02,Xarray,Interactive:  I use Dask with Jupyter or IPython when playing with data;Batch: I submit scripts that run in the future,Personal laptop;Large workstation;Cluster of 2-10 machines;Cluster with 10-100 machines,"I use Dask all the time, even when I sleep",Documentation;Stack Overflow #Dask tag;Examples at examples.dask.org;GitHub issue trackers (reading past issues),More examples in my field,Yes,Critical to me,Critical to me,Critical to me,Critical to me,Critical to me,Somewhat useful,Critical to me,Critical to me,Somewhat useful,Somewhat useful,3.0,SSH;Kubernetes,Amazon Web Services (AWS);Google Cloud Platform (GCP),,3.0,My team or research group also use Dask
2019-06-26 18:32:18,Array;Delayed;Futures;Xarray,Interactive:  I use Dask with Jupyter or IPython when playing with data;Batch: I submit scripts that run in the future,Personal laptop;Large workstation;Cluster with 10-100 machines,Every day,Documentation;Tutorial;GitHub issue trackers (reading past issues),More examples in my field,Yes,Somewhat useful,Somewhat useful,Not relevant for me,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Critical to me,Not relevant for me,3.0,"Kubernetes;HPC resource manager (SLURM, PBS, SGE, LSF or similar)",Amazon Web Services (AWS),"xarray, opendatacube, numpy, scipy",3.0,My team or research group also use Dask
2019-06-26 23:18:09,Bag;DataFrame;Delayed,Interactive:  I use Dask with Jupyter or IPython when playing with data,Personal laptop,Occasionally,Documentation;GitHub issue trackers (raising a new issue);GitHub issue trackers (reading past issues),New features,Yes,Critical to me,,,Critical to me,Critical to me,Critical to me,,,Critical to me,Critical to me,3.0,,Amazon Web Services (AWS),,4.0,I use Dask mostly on my own
2019-06-27 01:58:13,Array;DataFrame,Batch: I submit scripts that run in the future,Personal laptop,Occasionally,Documentation;Stack Overflow #Dask tag;Tutorial;Examples at examples.dask.org;GitHub issue trackers (reading past issues),More examples in my field,Yes,Critical to me,Critical to me,Somewhat useful,Not relevant for me,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Not relevant for me,Critical to me,3.0,SSH;Kubernetes,Amazon Web Services (AWS);Microsoft Azure,,4.0,My team or research group also use Dask
2019-06-27 04:17:25,Array;Bag;DataFrame;Delayed;Futures;ML,Batch: I submit scripts that run in the future,Large workstation;Cluster of 2-10 machines,"I use Dask all the time, even when I sleep",Documentation;Stack Overflow #Dask tag;Tutorial,More examples in my field,Yes,Somewhat useful,Critical to me,Critical to me,Somewhat useful,Somewhat useful,Somewhat useful,Critical to me,Critical to me,Critical to me,Critical to me,3.0,Kubernetes,Amazon Web Services (AWS),"Pandas, SKlearn, Prefect",4.0,I use Dask mostly on my own
2019-06-27 07:02:35,Array;DataFrame;Delayed;Futures;Xarray,Batch: I submit scripts that run in the future,Cluster of 2-10 machines,Every day,Documentation;Stack Overflow #Dask tag;Tutorial;Examples at examples.dask.org;GitHub issue trackers (reading past issues),More examples in my field,Yes,Critical to me,Somewhat useful,Not relevant for me,Not relevant for me,Critical to me,Somewhat useful,Somewhat useful,Critical to me,Critical to me,Somewhat useful,3.0,Docker Swarm,None,"Numpy, scikit, dask.image, own C wrapped functions",4.0,My team or research group also use Dask
2019-06-27 09:31:09,Delayed,Batch: I submit scripts that run in the future,Personal laptop;Cluster of 2-10 machines,Just looking for now,Documentation;Tutorial;Examples at examples.dask.org;GitHub issue trackers (raising a new issue);GitHub issue trackers (reading past issues);The Gitter chat room,Performance improvements,No,Not relevant for me,Not relevant for me,Not relevant for me,Not relevant for me,Critical to me,Critical to me,Critical to me,Critical to me,Somewhat useful,Not relevant for me,3.0,Kubernetes,Google Cloud Platform (GCP),"Scikit-learn, Scikit-optimize, Joblib",1.0,My team or research group also use Dask
2019-06-27 09:45:36,Array;Delayed;Futures;Xarray,Batch: I submit scripts that run in the future,Personal laptop;Large workstation;Cluster with 10-100 machines,"I use Dask all the time, even when I sleep",Documentation,New features,Yes,Somewhat useful,Not relevant for me,Not relevant for me,Not relevant for me,Critical to me,Somewhat useful,Not relevant for me,Not relevant for me,Not relevant for me,Critical to me,3.0,"HPC resource manager (SLURM, PBS, SGE, LSF or similar)",,numba,3.0,"Beyond my group, many people throughout my institution use Dask"
2019-06-27 11:34:44,DataFrame;Delayed;Futures,Interactive:  I use Dask with Jupyter or IPython when playing with data;Batch: I submit scripts that run in the future,Personal laptop,Occasionally,Documentation;Examples at examples.dask.org;Pycon and other events' presentations that talking about Dask,More examples in my field,Yes,Critical to me,Critical to me,Critical to me,Somewhat useful,Somewhat useful,Critical to me,Critical to me,Not relevant for me,Not relevant for me,Somewhat useful,3.0,,,"Pandas, Matplotlib, requests",3.0,I use Dask mostly on my own
2019-06-27 12:36:05,Array;Bag;DataFrame;Delayed,Interactive:  I use Dask with Jupyter or IPython when playing with data;Batch: I submit scripts that run in the future,Personal laptop;Large workstation;Cluster of 2-10 machines,"I use Dask all the time, even when I sleep",Documentation;Stack Overflow #Dask tag;Tutorial;Examples at examples.dask.org;GitHub issue trackers (raising a new issue);GitHub issue trackers (reading past issues),More examples in my field,Yes,Critical to me,Somewhat useful,Somewhat useful,Not relevant for me,Somewhat useful,Not relevant for me,Not relevant for me,Not relevant for me,Somewhat useful,Somewhat useful,3.0,SSH;My workplace has a custom solution for this,Amazon Web Services (AWS),"scipy, tensorflow",4.0,My team or research group also use Dask
2019-06-27 12:41:47,Array;DataFrame;Delayed;ML,Interactive:  I use Dask with Jupyter or IPython when playing with data;Batch: I submit scripts that run in the future,Personal laptop;Cluster with 10-100 machines;Cluster with 100+ machines,Occasionally,"Documentation;""Data Science with Python and Dask"" from Manning",More documentation,Yes,Critical to me,Critical to me,Critical to me,Critical to me,Critical to me,Critical to me,Somewhat useful,Somewhat useful,Not relevant for me,Critical to me,3.0,Kubernetes,Amazon Web Services (AWS);Google Cloud Platform (GCP);I would use whichever Dask made the easiest.,"sklearn, pytorch, scipy",4.0,My team or research group also use Dask
2019-06-27 13:43:11,Array;Bag;DataFrame;Xarray,Interactive:  I use Dask with Jupyter or IPython when playing with data;Batch: I submit scripts that run in the future,Personal laptop;Large workstation;Cluster of 2-10 machines,Every day,Documentation,More examples in my field,Yes,Somewhat useful,Somewhat useful,Not relevant for me,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Not relevant for me,Somewhat useful,Somewhat useful,3.0,"HPC resource manager (SLURM, PBS, SGE, LSF or similar);My workplace has a custom solution for this",,,3.0,My team or research group also use Dask
2019-06-27 14:29:25,Array;Bag;DataFrame;Delayed;Futures;ML,Interactive:  I use Dask with Jupyter or IPython when playing with data,Personal laptop;Large workstation,Just looking for now,Documentation;Tutorial;Examples at examples.dask.org,More examples in my field,Yes,Critical to me,Critical to me,Critical to me,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Critical to me,3.0,SSH,Amazon Web Services (AWS),"jupyter, pandas, plotly, scikit-learn",4.0,My team or research group also use Dask
2019-06-27 17:22:32,Delayed;Futures,Interactive:  I use Dask with Jupyter or IPython when playing with data;Batch: I submit scripts that run in the future,Cluster of 2-10 machines,Occasionally,Documentation;Tutorial;Examples at examples.dask.org;GitHub issue trackers (reading past issues),More examples in my field,Yes,Not relevant for me,Not relevant for me,Critical to me,Somewhat useful,Somewhat useful,Somewhat useful,Critical to me,Somewhat useful,Somewhat useful,Critical to me,3.0,SSH,Amazon Web Services (AWS);Google Cloud Platform (GCP),"Vips, PIL, PyTorch",4.0,My team or research group also use Dask
2019-06-27 18:04:07,Delayed;Futures,Batch: I submit scripts that run in the future,Large workstation;Cluster of 2-10 machines,Occasionally,Documentation;GitHub issue trackers (reading past issues),New features,Yes,Not relevant for me,Not relevant for me,Not relevant for me,Not relevant for me,Somewhat useful,Critical to me,Critical to me,Critical to me,Not relevant for me,Not relevant for me,3.0,Kubernetes,Amazon Web Services (AWS),"sqlalchemy, pandas, numpy",3.0,My team or research group also use Dask
2019-06-27 18:29:13,DataFrame;ML,,,Just looking for now,Documentation,Performance improvements,,Critical to me,,,,Critical to me,,,,,Somewhat useful,3.0,,Amazon Web Services (AWS);Alibaba,,3.0,I use Dask mostly on my own
2019-06-27 21:38:29,Array;Bag;DataFrame;Delayed;ML,Interactive:  I use Dask with Jupyter or IPython when playing with data;Batch: I submit scripts that run in the future,Personal laptop;Large workstation;Cluster of 2-10 machines,Occasionally,Documentation;Tutorial;Examples at examples.dask.org,More documentation,Yes,Critical to me,Critical to me,Somewhat useful,Not relevant for me,Somewhat useful,Critical to me,Critical to me,Somewhat useful,Not relevant for me,Somewhat useful,3.0,SSH;Kubernetes,Amazon Web Services (AWS);Google Cloud Platform (GCP),pandas for transforms,3.0,My team or research group also use Dask
2019-06-27 21:43:05,DataFrame;Delayed,Interactive:  I use Dask with Jupyter or IPython when playing with data,Personal laptop;Large workstation,Occasionally,Documentation;Tutorial,More examples in my field,Yes,Critical to me,Critical to me,Critical to me,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Not relevant for me,Not relevant for me,Not relevant for me,3.0,,ArcGIS Notebook server,"geopandas, ArcGIS, pandas, scikit-learn",3.0,My team or research group also use Dask
2019-06-28 00:04:29,Array;DataFrame;Delayed,Interactive:  I use Dask with Jupyter or IPython when playing with data;Batch: I submit scripts that run in the future,Personal laptop,Just looking for now,Documentation;Tutorial;Examples at examples.dask.org,More examples in my field,Yes,Critical to me,,,,Critical to me,Critical to me,Critical to me,Critical to me,,,3.0,SSH;Hadoop / Yarn / EMR,Amazon Web Services (AWS),"Numpy, Pandas",2.0,I use Dask mostly on my own
2019-06-28 04:31:34,DataFrame;Delayed,Interactive:  I use Dask with Jupyter or IPython when playing with data;Batch: I submit scripts that run in the future,Personal laptop;Cluster of 2-10 machines,Every day,Documentation;Stack Overflow #Dask tag;GitHub issue trackers (reading past issues),New features,No,Critical to me,Somewhat useful,Critical to me,Critical to me,Not relevant for me,Critical to me,Somewhat useful,Not relevant for me,Somewhat useful,Critical to me,3.0,"I don't know, someone else does this for me",Google Cloud Platform (GCP),"pandas, numpy and plotting libraries like hvplot or plotly",4.0,"Beyond my group, many people throughout my institution use Dask"
2019-06-28 04:33:22,Array;DataFrame,Interactive:  I use Dask with Jupyter or IPython when playing with data;Batch: I submit scripts that run in the future,Personal laptop;Large workstation,Just looking for now,Documentation;Examples at examples.dask.org,More examples in my field,Yes,Critical to me,Somewhat useful,Not relevant for me,Not relevant for me,Somewhat useful,Somewhat useful,Somewhat useful,Not relevant for me,Not relevant for me,Somewhat useful,3.0,,,numpy,3.0,I use Dask mostly on my own
2019-06-28 06:48:53,Array;Bag;Delayed;Xarray,Interactive:  I use Dask with Jupyter or IPython when playing with data;Batch: I submit scripts that run in the future,Personal laptop;Large workstation;Cluster of 2-10 machines,Occasionally,Documentation;Examples at examples.dask.org,More documentation,Yes,Critical to me,Not relevant for me,Not relevant for me,Not relevant for me,Somewhat useful,Critical to me,Somewhat useful,Somewhat useful,Somewhat useful,Not relevant for me,3.0,SSH,,numpy numba pandas xarray,4.0,I use Dask mostly on my own
2019-06-29 10:39:15,Array;Bag;DataFrame;Delayed;Futures,Interactive:  I use Dask with Jupyter or IPython when playing with data;Batch: I submit scripts that run in the future,Personal laptop;Large workstation;Cluster with 100+ machines,Just looking for now,Documentation,More documentation,Yes,Not relevant for me,Not relevant for me,Not relevant for me,Not relevant for me,Critical to me,Critical to me,Critical to me,Critical to me,Critical to me,Somewhat useful,3.0,"SSH;I don't know, someone else does this for me;My workplace has a custom solution for this",Amazon Web Services (AWS);Google Cloud Platform (GCP),,4.0,I use Dask mostly on my own
2019-06-29 10:46:38,DataFrame,Interactive:  I use Dask with Jupyter or IPython when playing with data;Batch: I submit scripts that run in the future,Personal laptop;Cluster with 100+ machines,Occasionally,Documentation;Tutorial;Examples at examples.dask.org,Performance improvements,Yes,Critical to me,Somewhat useful,Critical to me,Somewhat useful,Critical to me,Critical to me,Critical to me,,Somewhat useful,Critical to me,3.0,Kubernetes,Google Cloud Platform (GCP),,4.0,I use Dask mostly on my own
2019-06-29 10:51:17,DataFrame;ML,Batch: I submit scripts that run in the future,Large workstation,Occasionally,Documentation;Stack Overflow #Dask tag,More examples in my field,Yes,Critical to me,Critical to me,Somewhat useful,Not relevant for me,Somewhat useful,Not relevant for me,Not relevant for me,Not relevant for me,Not relevant for me,Somewhat useful,3.0,SSH,,,2.0,I use Dask mostly on my own
2019-06-29 10:59:37,DataFrame,Interactive:  I use Dask with Jupyter or IPython when playing with data,Large workstation,Occasionally,Documentation;Stack Overflow #Dask tag;GitHub issue trackers (reading past issues),New features,No,Somewhat useful,Somewhat useful,Somewhat useful,Critical to me,Somewhat useful,Somewhat useful,Somewhat useful,Critical to me,Somewhat useful,Critical to me,3.0,,Amazon Web Services (AWS),Rapids CuDf,4.0,My team or research group also use Dask
2019-06-29 11:21:32,DataFrame;Delayed,Interactive:  I use Dask with Jupyter or IPython when playing with data,Personal laptop,Just looking for now,Documentation;Stack Overflow #Dask tag;Examples at examples.dask.org,New features,Yes,Critical to me,Critical to me,Critical to me,Somewhat useful,Somewhat useful,Not relevant for me,Not relevant for me,Not relevant for me,Not relevant for me,Critical to me,3.0,SSH,Amazon Web Services (AWS),pandas,2.0,I use Dask mostly on my own
2019-06-29 11:23:40,Array;DataFrame;Delayed,Interactive:  I use Dask with Jupyter or IPython when playing with data,Personal laptop;Cluster with 100+ machines,Occasionally,Documentation;Stack Overflow #Dask tag;Tutorial;GitHub issue trackers (reading past issues),More examples in my field,Yes,Somewhat useful,Critical to me,Not relevant for me,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Critical to me,Critical to me,Somewhat useful,3.0,Kubernetes,Amazon Web Services (AWS),"Scikit-learn, stdlib",4.0,My team or research group also use Dask
2019-06-29 11:34:12,DataFrame,Interactive:  I use Dask with Jupyter or IPython when playing with data,Personal laptop;Large workstation,Occasionally,Stack Overflow #Dask tag;Tutorial,New features,Yes,Critical to me,Critical to me,Critical to me,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Not relevant for me,Not relevant for me,3.0,SSH,Microsoft Azure,"Pandas, scikit learn, altair ",4.0,I use Dask mostly on my own
2019-06-29 12:33:09,Array;Delayed,Interactive:  I use Dask with Jupyter or IPython when playing with data,Large workstation,Just looking for now,Documentation;Examples at examples.dask.org,,,Critical to me,,,,,,Critical to me,,,,3.0,,,numpy scipy,4.0,I use Dask mostly on my own
2019-06-29 12:43:14,DataFrame,Interactive:  I use Dask with Jupyter or IPython when playing with data,Cluster with 100+ machines,Every day,Documentation;Stack Overflow #Dask tag;Examples at examples.dask.org;GitHub issue trackers (reading past issues),More examples in my field,Yes,Critical to me,Critical to me,Somewhat useful,Critical to me,Critical to me,Critical to me,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,3.0,"HPC resource manager (SLURM, PBS, SGE, LSF or similar)",Google Cloud Platform (GCP),,4.0,I use Dask mostly on my own
2019-06-29 12:51:33,DataFrame;Futures,Interactive:  I use Dask with Jupyter or IPython when playing with data;Batch: I submit scripts that run in the future,Personal laptop;Large workstation,"I use Dask all the time, even when I sleep",Documentation;GitHub issue trackers (reading past issues),New features,Yes,Somewhat useful,Not relevant for me,Not relevant for me,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Critical to me,3.0,Docker,On-premise,,4.0,I use Dask mostly on my own
2019-06-29 13:01:44,Array,Interactive:  I use Dask with Jupyter or IPython when playing with data,Personal laptop;Large workstation,Just looking for now,Documentation;Tutorial,More examples in my field,Yes,Somewhat useful,Critical to me,Critical to me,Not relevant for me,Somewhat useful,Critical to me,Critical to me,Critical to me,Not relevant for me,Somewhat useful,3.0,,Microsoft Azure,"Numpy, scipy, matplotlib, scikit-learn",4.0,I use Dask mostly on my own
2019-06-29 13:02:29,Array;DataFrame;Delayed,Batch: I submit scripts that run in the future,Personal laptop;Large workstation,Just looking for now,Documentation;GitHub issue trackers (reading past issues),Performance improvements,Yes,Somewhat useful,Somewhat useful,Not relevant for me,Not relevant for me,Not relevant for me,Not relevant for me,Somewhat useful,Somewhat useful,Not relevant for me,Not relevant for me,3.0,,,numba,4.0,I use Dask mostly on my own
2019-06-29 13:03:05,Futures,Interactive:  I use Dask with Jupyter or IPython when playing with data;Batch: I submit scripts that run in the future,Personal laptop;Large workstation;Cluster of 2-10 machines;Cluster with 10-100 machines,Occasionally,Documentation;Stack Overflow #Dask tag;Tutorial;Examples at examples.dask.org;GitHub issue trackers (reading past issues),More documentation,Yes,Somewhat useful,Somewhat useful,Not relevant for me,Somewhat useful,Not relevant for me,Somewhat useful,Critical to me,Somewhat useful,Critical to me,Somewhat useful,3.0,SSH,Microsoft Azure,Stumpy,4.0,My team or research group also use Dask
2019-06-29 13:25:20,Bag;DataFrame;Delayed;ML,Interactive:  I use Dask with Jupyter or IPython when playing with data;Batch: I submit scripts that run in the future,Personal laptop;Cluster of 2-10 machines,Every day,Documentation;Tutorial;Examples at examples.dask.org,New features,Yes,Critical to me,Somewhat useful,Critical to me,Critical to me,Critical to me,Critical to me,Critical to me,Critical to me,Somewhat useful,Critical to me,3.0,SSH;Kubernetes;Hadoop / Yarn / EMR,Amazon Web Services (AWS);Microsoft Azure,xgboost ,4.0,My team or research group also use Dask
2019-06-29 13:48:53,Array;DataFrame;ML,Interactive:  I use Dask with Jupyter or IPython when playing with data,Personal laptop,Every day,Documentation;Stack Overflow #Dask tag;Examples at examples.dask.org;GitHub issue trackers (reading past issues),New features,Yes,Somewhat useful,Critical to me,Critical to me,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Critical to me,3.0,"Kubernetes;I don't know, someone else does this for me;OpenShift",,"scikit-learn, pandas, pytorch",4.0,My team or research group also use Dask
2019-06-29 13:52:38,Bag;DataFrame,Interactive:  I use Dask with Jupyter or IPython when playing with data,Large workstation,Occasionally,Documentation;Stack Overflow #Dask tag;Tutorial;Examples at examples.dask.org,More examples in my field,Yes,Critical to me,Somewhat useful,Critical to me,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Not relevant for me,Not relevant for me,Somewhat useful,3.0,,,xml.etree,3.0,I use Dask mostly on my own
